,circuitId,raceId.x,resultId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time.x,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,...1.x,year,round,name.x,date,time.y,url.x,Rainfall,Rainfall2,Air Temp,Track Temp,Wind Speed,...1.y,circuitRef,name.y,location,country,lat,lng,alt,dist.km.,dist.mile.,Turns,Date.Range,Type,url.y,raceId.y,Avg_Speed,Avg_Speed_MPH,Avg_Throttle,TrackType
22,3,990,23807,807,4,27,7,6,6,6,8,57,99.0,5620964,50,9,01:34.7,205.807,1,977,2018,2,Bahrain Grand Prix,4/8/18,15:10:00,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,Dry,DRY,27.98252427,32.19805825,0.958252427,2,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,5.412,3.363,15,2005-present,Race,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,990,80.125,151.098908,62.80617077,F
23,71,1004,24089,844,15,16,7,7,7,7,6,53,98.4,5343571,52,9,01:38.1,214.59,1,991,2018,16,Russian Grand Prix,9/30/18,11:10:00,http://en.wikipedia.org/wiki/2018_Russian_Grand_Prix,Minimal,WET,24.77818182,29.94545455,1.997272727,23,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,18,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom,1004,92.64666667,141.2074548,62.07379087,M
24,71,1040,24815,848,9,23,15,10,10,10,1,53,97.9,5738224,51,9,01:38.4,214.001,1,1027,2020,10,Russian Grand Prix,9/27/20,11:10:00,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,Dry,DRY,28.80606061,40.34242424,1.428787879,23,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,3.634,18,2014-present,Race,http://en.wikipedia.org/wiki/Sochi_Autodrom,1004,92.64666667,141.2074548,62.07379087,M
25,34,1017,24351,832,1,55,6,6,6,6,8,53,95.5,5166660,52,6,01:34.6,222.408,1,1004,2019,8,French Grand Prix,6/23/19,13:10:00,http://en.wikipedia.org/wiki/2019_French_Grand_Prix,Dry,DRY,26.89421488,54.52561983,1.678512397,19,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,15,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,996,90.095,145.0468949,60.39447037,M
26,5,1044,24895,817,4,3,5,10,10,10,1,58,95.5,6234773,54,13,01:40.7,190.875,1,1031,2020,14,Turkish Grand Prix,11/15/20,10:10:00,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,Minimal,WET,13.09568345,15.2057554,1.06618705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,69,1006,24129,832,4,55,11,7,7,7,6,56,95.0,5753637,45,11,01:39.9,198.75,1,993,2018,18,United States Grand Prix,10/21/18,18:10:00,http://en.wikipedia.org/wiki/2018_United_States_Grand_Prix,Dry,DRY,21.93358779,30.48625954,2.090839695,21,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,5.514,3.426,20,2012-present,Race,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,1006,93.02,132.5908407,61.57286775,S
28,34,996,23931,844,15,16,8,10,10,10,1,53,93.9,5505258,45,12,01:36.0,219.127,1,983,2018,8,French Grand Prix,6/24/18,14:10:00,http://en.wikipedia.org/wiki/2018_French_Grand_Prix,Minimal,WET,24.54607843,42.03333333,1.815686275,19,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,15,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,996,90.095,145.0468949,60.39447037,M
29,34,996,23930,807,4,27,12,9,9,9,2,53,92.0,5503374,46,11,01:35.9,219.365,1,983,2018,8,French Grand Prix,6/24/18,14:10:00,http://en.wikipedia.org/wiki/2018_French_Grand_Prix,Minimal,WET,24.54607843,42.03333333,1.815686275,19,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,15,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,996,90.095,145.0468949,60.39447037,M
30,34,1059,25095,840,117,18,19,10,10,10,1,53,91.9,5337716,44,9,01:37.8,214.981,1,1044,2021,7,French Grand Prix,6/20/21,13:00:00,http://en.wikipedia.org/wiki/2021_French_Grand_Prix,Dry,DRY,25.3144,35.2288,1.1656,19,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,3.63,15,2005-present,Race,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,996,90.095,145.0468949,60.39447037,M
31,24,1009,24190,815,10,11,14,8,8,8,4,55,91.3,6071657,53,8,01:42.8,194.467,1,996,2018,21,Abu Dhabi Grand Prix,11/25/18,13:10:00,http://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix,Minimal,WET,31.27372263,33.31824818,2.16350365,17,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.554,3.451,16,2009-2021,Race,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,1009,92.5,134.3091892,58.91624234,S
