"","raceId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs","circuitId"
"63",992,82,7619,154,210,8,20,17.5,"00:00.0",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",97.7154999409751,0.933715027741707,0,73
"64",992,69,7606,839,10,31,7,7.5,"01:42.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",58.0326407744068,0.405087947113682,102.5,73
"65",992,80,7617,828,15,9,18,16,"01:45.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",81.9168339039074,0.694073899185456,105.5,73
"66",992,71,7608,807,4,27,9,9.5,"01:43.1",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",44.2556959036714,0.246606067760595,103.1,73
"67",992,72,7609,832,4,55,10,9.5,"01:43.4",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",41.3637114862472,0.248022665564868,103.4,73
"68",992,78,7615,838,1,2,16,14.5,"01:44.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",85.3851375280368,0.755459804037304,104.5,73
"69",992,70,7607,815,10,11,8,7.5,"01:42.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",56.7597686223586,0.395998111202928,102.5,73
"70",992,66,7603,817,9,3,4,4.5,"01:41.9",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",53.4573249911463,0.30450950301027,101.9,73
"71",992,67,7604,830,9,33,5,4.5,"01:42.0",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",51.8873804745603,0.32274819974029,102,73
"72",992,68,7605,8,6,7,6,3.5,"01:42.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",55.3719159485303,0.348069885491677,102.5,73
"73",992,65,7602,822,131,77,3,2.5,"01:41.8",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",66.3765789163027,0.468657773580451,101.8,73
"74",992,75,7612,4,1,14,13,14.5,"01:44.0",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",70.1052414118758,0.513693778774643,104,73
"75",992,76,7613,844,15,16,14,16,"01:43.8",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",71.3428166686342,0.525557785385433,103.8,73
"76",992,77,7614,825,210,20,15,17.5,"01:43.7",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",76.4779246842167,0.615098571597214,103.7,73
"77",992,64,7601,1,131,44,2,2.5,"01:41.7",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",62.0045449179554,0.441270216031165,101.7,73
"78",992,63,7600,20,6,5,1,3.5,"01:41.5",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",50.0656356982647,0.326407744067997,101.5,73
"79",992,74,7611,845,3,35,12,11.5,"01:43.9",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",74.1369377877464,0.563156652107189,103.9,73
"80",992,73,7610,840,3,18,11,11.5,"01:43.6",2018,4,"Minimal",22.65882353,26.56176471,1.610294118,"No",72.9492976035887,0.561149805217802,103.6,73
"81",993,86,7623,8,6,7,4,3.5,"01:16.6",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",63.1726251276813,0.483266238058042,76.6,4
"82",993,83,7620,1,131,44,1,1.5,"01:16.2",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",78.5550681968395,0.632878687736586,76.2,4
"83",993,85,7622,20,6,5,3,3.5,"01:16.3",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",64.5807847142943,0.510064291293637,76.3,4
"84",993,93,7630,838,1,2,11,9.5,"01:18.3",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",67.5246650243346,0.520459051853632,78.3,4
"85",993,94,7631,842,5,10,12,16,"01:18.5",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",69.1233551643333,0.534278675719522,78.5,4
"86",993,84,7621,822,131,77,2,1.5,"01:16.2",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",80.317671092952,0.686955476777023,76.2,4
"87",993,92,7629,154,210,8,10,8.5,"01:17.7",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",60.0767890404374,0.440485489394941,77.7,4
"88",993,97,7634,815,10,11,15,14,"01:18.7",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",66.4565282701436,0.526768010575017,78.7,4
"89",993,98,7635,807,4,27,16,12.5,"01:18.9",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",83.7894610346692,0.758396923631557,78.9,4
"90",993,95,7632,839,10,31,13,14,"01:18.7",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",65.3142462296461,0.519858198642072,78.7,4
"91",993,96,7633,844,15,16,14,15.5,"01:18.7",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",73.327284744337,0.591179474854293,78.7,4
"92",993,88,7625,817,9,3,6,5.5,"01:16.8",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",60.8128943099201,0.420957760019227,76.8,4
"93",993,89,7626,825,210,20,7,8.5,"01:17.6",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",62.867151354924,0.410502914138076,77.6,4
"94",993,90,7627,4,1,14,8,9.5,"01:17.7",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",63.2106591359731,0.463858679324641,77.7,4
"95",993,91,7628,832,4,55,9,12.5,"01:17.8",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",51.0567806284925,0.363035510424803,77.8,4
"96",993,102,7639,843,5,28,20,16,"00:00.0",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",0,0,0,4
"97",993,99,7636,828,15,9,17,15.5,"01:19.5",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",80.3830439223698,0.700534759358289,79.5,4
