"raceId","resultId","grid","year","Air.Temp","Track.Temp","Wind.Speed","track_group","driverRef","team_rank","final_position","constructorRef","circuitRef","Rainfall2"
1036,24730,4,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","perez",3,5,"racing_point","catalunya","Dry"
993,23870,15,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","perez",6,6,"force_india","catalunya","Wet"
1036,24731,7,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","sainz",6,6,"mclaren","catalunya","Dry"
1036,24729,5,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","stroll",3,4,"racing_point","catalunya","Dry"
1055,25035,12,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","gasly",9,7,"alphatauri","catalunya","Dry"
1014,24285,4,2019,"20.147727272727273","40.72727272727273","1.9295454545454545","Med_Speed","max_verstappen",5,3,"red_bull","catalunya","Dry"
1055,25029,4,2021,"22.203076923076924","32.9223076923077","0.4576923076923077","Med_Speed","leclerc",3,4,"ferrari","catalunya","Dry"
1036,24726,1,2020,"29.7968992248062","47.55581395348836","1.5449612403100776","Med_Speed","hamilton",1,1,"mercedes","catalunya","Dry"
993,23863,2,2018,"16.050476190476193","32.33904761904761","1.9523809523809523","Med_Speed","bottas",1,2,"mercedes","catalunya","Wet"
1044,24890,15,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","sainz",7,5,"mclaren","istanbul","Wet"
1067,25273,19,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","sainz",6,7,"ferrari","istanbul","Dry"
1067,25266,1,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","bottas",1,1,"mercedes","istanbul","Dry"
1067,25267,2,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","max_verstappen",3,2,"red_bull","istanbul","Dry"
1067,25274,8,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","stroll",8,8,"aston_martin","istanbul","Dry"
1044,24886,6,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","hamilton",4,1,"mercedes","istanbul","Wet"
1044,24887,3,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","perez",1,2,"racing_point","istanbul","Wet"
1044,24894,1,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","stroll",1,7,"racing_point","istanbul","Wet"
1067,25268,6,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","perez",3,3,"red_bull","istanbul","Dry"
1044,24888,11,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","vettel",8,3,"ferrari","istanbul","Wet"
1067,25277,17,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","raikkonen",10,9,"alfa","istanbul","Dry"
1044,24889,12,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","leclerc",8,4,"ferrari","istanbul","Wet"
1044,24900,8,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","raikkonen",6,10,"alfa","istanbul","Wet"
1044,24899,9,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","bottas",4,9,"mercedes","istanbul","Wet"
1067,25283,10,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","vettel",8,10,"aston_martin","istanbul","Dry"
1067,25271,4,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","gasly",5,6,"alphatauri","istanbul","Dry"
1044,24898,19,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","gasly",10,8,"alphatauri","istanbul","Wet"
1044,24891,2,2020,"13.09568345323741","15.205755395683456","1.0661870503597122","Low_Speed","max_verstappen",3,6,"red_bull","istanbul","Wet"
1067,25270,11,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","hamilton",1,5,"mercedes","istanbul","Dry"
1067,25269,3,2021,"15.82547770700637","18.18089171974522","0.486624203821656","Low_Speed","leclerc",6,4,"ferrari","istanbul","Dry"
1015,24306,1,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","hamilton",1,1,"mercedes","monaco","Wet"
1056,25053,13,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","stroll",6,7,"aston_martin","monaco","Dry"
1015,24310,8,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","gasly",3,5,"red_bull","monaco","Wet"
1015,24307,4,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","vettel",5,2,"ferrari","monaco","Wet"
1015,24308,2,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","bottas",1,3,"mercedes","monaco","Wet"
994,23884,3,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","hamilton",3,2,"mercedes","monaco","Wet"
994,23886,5,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","bottas",3,4,"mercedes","monaco","Wet"
1015,24311,9,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","sainz",6,6,"mclaren","monaco","Wet"
994,23890,20,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","max_verstappen",7,6,"red_bull","monaco","Wet"
994,23888,10,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","gasly",8,5,"toro_rosso","monaco","Wet"
1056,25051,6,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","gasly",8,5,"alphatauri","monaco","Dry"
1056,25056,14,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","raikkonen",9,8,"alfa","monaco","Dry"
994,23891,8,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","sainz",6,7,"renault","monaco","Wet"
1056,25049,9,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","perez",4,3,"red_bull","monaco","Dry"
994,23883,2,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","vettel",1,1,"ferrari","monaco","Wet"
1015,24322,14,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","raikkonen",7,9,"alfa","monaco","Wet"
1056,25065,1,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","leclerc",1,9,"ferrari","monaco","Dry"
994,23898,17,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","stroll",9,9,"williams","monaco","Wet"
1015,24309,3,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","max_verstappen",3,4,"red_bull","monaco","Wet"
1056,25052,7,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","hamilton",3,6,"mercedes","monaco","Dry"
1056,25047,4,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","sainz",1,2,"ferrari","monaco","Dry"
1015,24321,17,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","stroll",8,8,"racing_point","monaco","Wet"
994,23885,4,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","raikkonen",1,3,"ferrari","monaco","Wet"
1015,24318,16,2019,"22.754676258992802","32.72949640287769","0.9035971223021583","Low_Speed","perez",8,7,"racing_point","monaco","Wet"
994,23893,9,2018,"26.640707964601766","34.60973451327434","1.382300884955752","Low_Speed","perez",5,8,"force_india","monaco","Wet"
1056,25050,8,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","vettel",6,4,"aston_martin","monaco","Dry"
1056,25046,2,2021,"20.760740740740744","37.595555555555556","0.3162962962962963","Low_Speed","max_verstappen",4,1,"red_bull","monaco","Dry"
1016,24336,11,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","sainz",7,8,"mclaren","villeneuve","Dry"
1016,24328,3,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","leclerc",1,3,"ferrari","villeneuve","Dry"
995,23911,13,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","leclerc",9,7,"sauber","villeneuve","Dry"
1016,24326,2,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","hamilton",3,1,"mercedes","villeneuve","Dry"
1016,24334,17,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","stroll",9,7,"racing_point","villeneuve","Dry"
995,23902,1,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","vettel",1,1,"ferrari","villeneuve","Dry"
1016,24340,16,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","raikkonen",8,10,"alfa","villeneuve","Dry"
