"","raceId","circuitId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs"
"44",1002,14,269,7806,832,4,55,7,10.5,"01:21.0",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",41.2912059522579,0.253642657848507,81
"45",1002,14,274,7811,845,3,35,12,11,"01:21.7",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",81.4242533843133,0.674124212049189,81.7
"46",1002,14,271,7808,842,5,10,9,13.5,"01:21.4",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",54.6151699906996,0.296217836106231,81.4
"47",1002,14,272,7809,840,3,18,10,11,"01:21.5",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",77.129688953188,0.611553167303917,81.5
"48",1002,14,273,7810,825,210,20,11,8.5,"01:21.7",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",80.9736488581172,0.674589232200062,81.7
"49",1002,14,279,7816,844,15,16,17,18,"01:21.9",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",73.0078020047535,0.594037408287692,81.9
"50",1002,14,280,7817,843,5,28,18,13.5,"01:21.9",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",68.6672005786917,0.543505218559471,81.9
"51",1002,14,267,7804,830,9,33,5,10,"01:20.3",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",46.0044435258861,0.309445075953291,80.3
"52",1002,14,278,7815,815,10,11,16,12,"01:21.9",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",73.8446832696084,0.666425545106955,81.9
"53",1002,14,277,7814,817,9,3,15,10,"01:21.3",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",62.1130515655678,0.568151286555751,81.3
"54",1002,14,264,7801,20,6,5,2,1.5,"01:19.3",2018,14,"Minimal",20.14936709,29.6443038,1.294936709,"No",64.5063552753953,0.464813475250594,79.3
